# expanded/data/codepage.tsv -- the GOLF code page, as data.
#
# GENERATED by tools/mktables.py from tools/mkblob2.py's ATOMS and
# tools/codepage.py's COMPILER and LIB tables.  Do not hand-edit: run
# `python3 tools/mktables.py` from expanded/ and commit.  test/selfcheck.sh
# fails if this file is not exactly what that command emits.
#
# It carries everything needed to reproduce BOTH codepage.encode and
# codepage.decode.  One record per line, five TAB-separated ASCII fields:
#
#   byte  mode  src  mnemonic  glyph
#
#   byte      the op byte, two uppercase hex digits
#   mode      ED = this byte decodes back to this glyph/mnemonic
#             E- = encode-only (see below)
#   src       A = mkblob2.ATOMS, C = codepage.COMPILER, L = codepage.LIB
#   mnemonic  the \name spelling WITHOUT the backslash, ASCII letters only
#   glyph     the glyph's UTF-8 bytes, two uppercase hex digits each, no spaces
#
# The three fixed-width fields come first, so the head of every record is
# exactly seven characters and a reader that only wants the byte can stop after
# two of them; the variable-width fields follow.  Glyphs are hex-encoded rather
# than written literally because the consumer is a byte machine and because a
# literal column would make this file's own encoding load-bearing.
#
# ENCODING uses every row: mnemonic -> byte and glyph -> byte, both regardless
# of mode.  (The encoder takes the LONGEST KNOWN MNEMONIC PREFIX of the alpha
# run after a `\`, so \sqr48 is \sqr then 48 -- see ../REGISTRY.md.)
#
# DECODING uses only the ED rows: byte -> glyph, or byte -> \mnemonic in -m
# form.  The E- rows are the deliberate asymmetry documented in
# tools/codepage.py: a LIB word named by an ASCII letter is reachable by its
# glyph and its mnemonic on input, but that byte decodes as the plain letter,
# because a low byte could equally be a *user* word of the same name.  Bytes
# with no row at all decode as ASCII, or as \xHH when they are neither.
#
# Lines beginning with `#` are comments and there are none after this header;
# there is no blank line and no trailing whitespace anywhere in the records.
7E	E-	A	not	7E
24	E-	A	and	24
7C	E-	A	or	7C
3D	E-	A	xor	3D
3E	E-	A	shr	3E
80	ED	A	neg	C2B1
81	ED	A	inc	E28A95
82	ED	A	dec	E28A96
83	ED	A	sqr	C2B2
84	ED	A	dbl	E28A97
85	ED	A	hlv	E28A98
86	ED	A	gt	C2BB
87	ED	A	eq	E289A1
88	ED	A	max	E28C88
89	ED	A	min	E28C8A
8A	ED	A	sdv	C3B7
8B	ED	A	smd	E288A3
8D	ED	A	exec	E28D8E
91	ED	A	radd	EFB9A2
92	ED	A	rsub	EFB9A3
93	ED	A	rmul	EFB9A1
94	ED	A	rmin	E28A93
95	ED	A	rmax	E28A94
96	ED	A	rlt	EFB9A4
A0	ED	A	slt	E289BA
A1	ED	A	sgt	E289BB
A2	ED	A	shl	E289AA
A3	ED	A	sar	E289AB
A4	ED	A	fetch	E28A99
A5	ED	A	store	E28A9B
A7	ED	A	sys	E28E88
8C	ED	C	ref	E280B2
8E	ED	C	str	E2809C
8F	ED	C	set	E28692
90	ED	C	get	E28690
52	E-	L	range	E28DB3
53	E-	L	sum	E28891
4C	E-	L	len	E289A2
49	E-	L	index	E28A87
41	E-	L	alloc	E28DB6
4E	E-	L	num	E1B984
45	E-	L	nl	E290A4
4D	E-	L	map	E282AC
46	E-	L	fold	E287A4
51	E-	L	show	E28D95
50	E-	L	prod	E2888F
56	E-	L	rev	E28CBD
57	E-	L	filter	E28CBF
4F	E-	L	puts	F09F97B2
55	E-	L	chars	E28A83
4A	E-	L	join	E28A90
5A	E-	L	zip	E28A9E
C0	ED	L	vadd	E28894
C1	ED	L	vsub	E288B8
C2	ED	L	vmul	E2A8B0
C3	ED	L	vmin	E2A98D
C4	ED	L	vmax	E2A98C
C5	ED	L	comp	E28898
C6	ED	L	pipe	E28789
C7	ED	L	fork	E29182
